Nome,Email,Telefono,Descrizione,Sito Web,Data Scraping,Indirizzo,Settore
Concessionaria Elite,info@concessionariaelite.it,+39 095 414557,Azienda leader nel settore automotive con sede a Verona. Offriamo prodotti e servizi di alta qualità dal 1976.,https://www.concessionariaelite.it,2025-04-09 15:56:01,"Via Giotto, 199 - 42069 Verona",Automotive
Trattoria Da Carlo,trattoriadacarlo@virgilio.it,+39 085 957454,La nostra missione è fornire il miglior servizio possibile nel settore tecnologia. Siamo un'azienda a conduzione familiare con oltre 9 anni di esperienza.,,2025-04-09 15:56:01,"Via Giotto, 144 - 46019 Cagliari",Tecnologia
Gommista Il Mulino,info@gommistailmulino.it,+39 361 9138146,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore assicurativo. Fondata nel 1963, siamo cresciuti fino a diventare un punto di riferimento a Cagliari.",,2025-04-09 15:56:01,"Via Michelangelo, 128 - 63097 Cagliari",Assicurativo
Bar La Taverna,info@barlataverna.it,+39 375 3728402,Dal 1985 offriamo servizi di qualità nel settore commercio al dettaglio. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.barlataverna.it,2025-04-09 15:56:01,"Via Cavour, 47 - 23021 Verona",Commercio al dettaglio
Locanda Metropolitan,info@locandametropolitan.it,+39 382 1677336,La nostra missione è fornire il miglior servizio possibile nel settore logistica. Siamo un'azienda a conduzione familiare con oltre 28 anni di esperienza.,,2025-04-09 15:56:01,"Via Bologna, 87 - 90063 Andria",Logistica
Consulenza Da Paolo,info@consulenzadapaolo.it,+39 028 940580,La nostra missione è fornire il miglior servizio possibile nel settore moda. Siamo un'azienda a conduzione familiare con oltre 22 anni di esperienza.,https://www.consulenzadapaolo.it,2025-04-09 15:56:01,"Viale delle Rose, 159 - 53089 Brescia",Moda
Libreria Da Paolo,libreriadapaolo@tiscali.it,+39 363 4741149,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore servizi professionali. Fondata nel 1988, siamo cresciuti fino a diventare un punto di riferimento a Novara.",,2025-04-09 15:56:01,"Via Leonardo da Vinci, 77 - 74052 Novara",Servizi professionali
Bar Il Giglio,info@barilgiglio.it,+39 093 740445,Azienda leader nel settore agricoltura con sede a Livorno. Offriamo prodotti e servizi di alta qualità dal 2017.,https://www.barilgiglio.it,2025-04-09 15:56:01,"Via Fermi, 135 - 43069 Livorno",Agricoltura
Macelleria Da Paolo,info@macelleriadapaolo.it,+39 056 505105,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore alberghiero. Fondata nel 1988, siamo cresciuti fino a diventare un punto di riferimento a Messina.",,2025-04-09 15:56:01,"Via Botticelli, 2 - 52072 Messina",Alberghiero
Osteria Da Giovanni,info@osteriadagiovanni.it,+39 042 982326,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore ristorazione. Fondata nel 1968, siamo cresciuti fino a diventare un punto di riferimento a Messina.",https://www.osteriadagiovanni.it,2025-04-09 15:56:01,"Via Einstein, 179 - 43020 Messina",Ristorazione
Impianti Il Palazzo,info@impiantiilpalazzo.it,+39 330 7734471,"Innovazione e tradizione si incontrano nella nostra azienda attiva nel settore commercio al dettaglio. Fondata nel 1995, siamo cresciuti fino a diventare un punto di riferimento a Cesena.",https://www.impiantiilpalazzo.it,2025-04-09 15:56:01,"Via Fermi, 115 - 25053 Cesena",Commercio al dettaglio
Caffè La Stella,info@caffèlastella.it,+39 332 3141171,Specialisti nel settore agricoltura con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Padova e oltre.,https://www.caffèlastella.it,2025-04-09 15:56:01,"Piazza Maggiore, 188 - 48047 Padova",Agricoltura
Farmacia Royal,farmaciaroyal@outlook.it,+39 318 7185009,Dal 1953 offriamo servizi di qualità nel settore commercio all'ingrosso. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.farmaciaroyal.it,2025-04-09 15:56:01,"Via Palermo, 16 - 47029 Torino",Commercio all'ingrosso
Ceramiche La Taverna,ceramichelataverna@virgilio.it,+39 014 533219,Specialisti nel settore manifatturiero con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Livorno e oltre.,,2025-04-09 15:56:01,"Via Palermo, 92 - 28062 Livorno",Manifatturiero
Elettrauto Il Pino,info@elettrautoilpino.it,+39 078 321786,Azienda leader nel settore immobiliare con sede a Bolzano. Offriamo prodotti e servizi di alta qualità dal 1950.,,2025-04-09 15:56:01,"Via Pascoli, 40 - 43069 Bolzano",Immobiliare
Agenzia Il Cantuccio,agenziailcantuccio@alice.it,+39 388 2687983,Specialisti nel settore benessere con un team di professionisti qualificati. Serviamo clienti in tutta la provincia di Verona e oltre.,https://www.agenziailcantuccio.it,2025-04-09 15:56:01,"Via Roma, 137 - 51053 Verona",Benessere
Estetica Il Cantuccio,esteticailcantuccio@fastwebnet.it,+39 080 109627,Dal 1986 offriamo servizi di qualità nel settore alberghiero. La nostra azienda è specializzata in soluzioni innovative per clienti esigenti.,https://www.esteticailcantuccio.it,2025-04-09 15:56:01,"Via Petrarca, 23 - 61070 Vicenza",Alberghiero
Assicurazioni Da Andrea,info@assicurazionidaandrea.it,+39 385 1915595,Azienda leader nel settore servizi professionali con sede a Reggio Emilia. Offriamo prodotti e servizi di alta qualità dal 2002.,https://www.assicurazionidaandrea.it,2025-04-09 15:56:01,"Via Dante, 167 - 45033 Reggio Emilia",Servizi professionali
Elettrica Elite,info@elettricaelite.it,+39 056 415007,Azienda leader nel settore servizi professionali con sede a Firenze. Offriamo prodotti e servizi di alta qualità dal 1962.,,2025-04-09 15:56:01,"Via Einstein, 169 - 38032 Firenze",Servizi professionali
